Accession,Release_Date,Species,Family,Length,Nuc_Completeness,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title,Species_code
MT350238,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29826,complete,"Fink,L.",,USA: VA,Homo sapiens,,2020-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0048/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350239,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29897,complete,"Fink,L.",,USA: VA,Homo sapiens,,2020-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0049/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350240,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29899,complete,"Fink,L.",,USA: VA,Homo sapiens,,2020-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0050/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350241,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29857,complete,"Fink,L.",,USA: VA,Homo sapiens,,2020-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0051/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350242,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29865,complete,"Fink,L.",,USA: VA,Homo sapiens,,2020-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0052/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350243,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29856,complete,"Fink,L.",,USA: VA,Homo sapiens,,2020-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0053/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350244,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29870,complete,"Fink,L.",,USA: VA,Homo sapiens,,2020-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0054/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350245,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29897,complete,"Fink,L.",,USA: VA,Homo sapiens,,2020-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0055/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350246,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29851,complete,"Fink,L.",,USA: VA,Homo sapiens,,2020-04,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0056/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350247,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29883,complete,"Fink,L.",,USA: VA,Homo sapiens,,2020-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0057/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350248,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29865,complete,"Fink,L.",,USA: VA,Homo sapiens,,2020-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0058/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350249,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29891,complete,"Fink,L.",,USA: VA,Homo sapiens,,2020-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0059/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350250,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29865,complete,"Fink,L.",,USA: VA,Homo sapiens,,2020-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0060/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350251,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29887,complete,"Fink,L.",,USA: VA,Homo sapiens,,2020-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0061/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350252,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29894,complete,"Fink,L.",,USA: VA,Homo sapiens,,2020-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0063/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350253,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29899,complete,"Fink,L.",,USA: VA,Homo sapiens,,2020-04,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0064/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350254,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29902,complete,"Fink,L.",,USA: VA,Homo sapiens,,2020-04,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0065/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350255,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29858,complete,"Fink,L.",,USA: VA,Homo sapiens,,2020-04,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0066/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350256,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29835,complete,"Fink,L.",,USA: VA,Homo sapiens,,2020-04,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0067/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350257,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29860,complete,"Fink,L.",,USA: VA,Homo sapiens,,2020-04,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0068/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350263,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,oronasopharynx,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0480/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350264,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,oronasopharynx,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0428/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350265,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,oronasopharynx,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0427/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350266,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,oronasopharynx,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0434/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350267,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,oronasopharynx,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0442/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350268,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,oronasopharynx,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0418/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350269,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,oronasopharynx,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0797/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350270,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,oronasopharynx,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0432/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350271,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,oronasopharynx,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0457/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350272,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,oronasopharynx,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0448/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350273,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,oronasopharynx,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0478/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350274,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,oronasopharynx,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0422/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350275,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,oronasopharynx,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0484/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350276,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,oronasopharynx,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0429/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350277,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,oronasopharynx,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0441/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350278,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,oronasopharynx,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0440/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350279,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,oronasopharynx,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0711/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350280,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,oronasopharynx,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0447/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT350282,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29903,complete,"Malta,F., Amgarten,D., de Oliveira,D.B.L., Araujo,D.B., Machado,R.R.G., Santana,R.A.F., Mangueira,C.L.P., Durigon,E.L., Pinho,J.R.R.",,Brazil,Homo sapiens,,2020-03-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/SP02cc/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT344944,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Uehara,A., Li,Y., Queen,K., Paden,C.R., Marine,R., Tao,Y., Zhang,J., Wang,H., Keckler,M.S., Laufer Halpin,A.S., Elkins,C.A., Tong,S.",,USA: CT,Homo sapiens,oronasopharynx,2020-03-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CT_9849/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT344945,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Uehara,A., Li,Y., Queen,K., Paden,C.R., Marine,R., Tao,Y., Zhang,J., Wang,H., Keckler,M.S., Laufer Halpin,A.S., Elkins,C.A., Tong,S.",,USA: GA,Homo sapiens,oronasopharynx,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA_2070/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT344946,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Uehara,A., Li,Y., Queen,K., Paden,C.R., Marine,R., Tao,Y., Zhang,J., Wang,H., Keckler,M.S., Laufer Halpin,A.S., Elkins,C.A., Tong,S.",,USA: GA,Homo sapiens,oronasopharynx,2020-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA_2147/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT344947,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Uehara,A., Li,Y., Queen,K., Paden,C.R., Marine,R., Tao,Y., Zhang,J., Wang,H., Keckler,M.S., Laufer Halpin,A.S., Elkins,C.A., Tong,S.",,USA: GA,Homo sapiens,oronasopharynx,2020-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA_2275/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT344948,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Uehara,A., Li,Y., Queen,K., Paden,C.R., Marine,R., Tao,Y., Zhang,J., Wang,H., Keckler,M.S., Laufer Halpin,A.S., Elkins,C.A., Tong,S.",,USA: HI,Homo sapiens,oronasopharynx,2020-03-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/HI_4970/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT344949,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Uehara,A., Li,Y., Queen,K., Paden,C.R., Marine,R., Tao,Y., Zhang,J., Wang,H., Keckler,M.S., Laufer Halpin,A.S., Elkins,C.A., Tong,S.",,USA: HI,Homo sapiens,oronasopharynx,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/HI_7881/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT344950,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29861,complete,"Uehara,A., Li,Y., Queen,K., Paden,C.R., Marine,R., Tao,Y., Zhang,J., Wang,H., Keckler,M.S., Laufer Halpin,A.S., Elkins,C.A., Tong,S.",,USA: IN,Homo sapiens,oronasopharynx,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IN_72003/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT344951,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29861,complete,"Queen,K., Li,Y., Uehara,A., Paden,C.R., Marine,R., Tao,Y., Zhang,J., Wang,H., Keckler,M.S., Laufer Halpin,A.S., Elkins,C.A., Tong,S.",,USA: IN,Homo sapiens,,2020-03-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IN_82003/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT344952,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29861,complete,"Queen,K., Li,Y., Uehara,A., Paden,C.R., Marine,R., Tao,Y., Zhang,J., Wang,H., Keckler,M.S., Laufer Halpin,A.S., Elkins,C.A., Tong,S.",,USA: IN,Homo sapiens,oronasopharynx,2020-03-09,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IN_92003/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT344953,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Queen,K., Li,Y., Uehara,A., Paden,C.R., Marine,R., Tao,Y., Zhang,J., Wang,H., Keckler,M.S., Laufer Halpin,A.S., Elkins,C.A., Tong,S.",,USA: MD,Homo sapiens,oronasopharynx,2020-03-04,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD_0027/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT344954,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Queen,K., Li,Y., Uehara,A., Paden,C.R., Marine,R., Tao,Y., Zhang,J., Wang,H., Keckler,M.S., Laufer Halpin,A.S., Elkins,C.A., Tong,S.",,USA: MN,Homo sapiens,oronasopharynx,2020-03-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN_0100/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT344955,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29876,complete,"Queen,K., Li,Y., Uehara,A., Paden,C.R., Marine,R., Tao,Y., Zhang,J., Wang,H., Keckler,M.S., Laufer Halpin,A.S., Elkins,C.A., Tong,S.",,USA: OH,Homo sapiens,oronasopharynx,2020-03-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/OH_0019/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT344956,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29876,complete,"Queen,K., Li,Y., Uehara,A., Paden,C.R., Marine,R., Tao,Y., Zhang,J., Wang,H., Keckler,M.S., Laufer Halpin,A.S., Elkins,C.A., Tong,S.",,USA: OH,Homo sapiens,oronasopharynx,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/OH_0020/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT344957,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29876,complete,"Queen,K., Li,Y., Uehara,A., Paden,C.R., Marine,R., Tao,Y., Zhang,J., Wang,H., Keckler,M.S., Laufer Halpin,A.S., Elkins,C.A., Tong,S.",,USA: PA,Homo sapiens,"lung, oronasopharynx",2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/PA_2734/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT344958,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29876,complete,"Queen,K., Li,Y., Uehara,A., Paden,C.R., Marine,R., Tao,Y., Zhang,J., Wang,H., Keckler,M.S., Laufer Halpin,A.S., Elkins,C.A., Tong,S.",,USA: PA,Homo sapiens,oronasopharynx,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/PA_2735/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT344959,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Queen,K., Li,Y., Uehara,A., Paden,C.R., Marine,R., Tao,Y., Zhang,J., Wang,H., Keckler,M.S., Laufer Halpin,A.S., Elkins,C.A., Tong,S.",,USA: PA,Homo sapiens,oronasopharynx,2020-03-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/PA_2887/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT344960,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Queen,K., Li,Y., Uehara,A., Paden,C.R., Marine,R., Tao,Y., Zhang,J., Wang,H., Keckler,M.S., Laufer Halpin,A.S., Elkins,C.A., Tong,S.",,USA: RI,Homo sapiens,oronasopharynx,2020-03-09,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/RI_0882/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT344961,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29879,complete,"Queen,K., Li,Y., Uehara,A., Paden,C.R., Marine,R., Tao,Y., Zhang,J., Wang,H., Keckler,M.S., Laufer Halpin,A.S., Elkins,C.A., Tong,S.",,USA: NV,Homo sapiens,oronasopharynx,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NV_0016/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT344962,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29877,complete,"Queen,K., Li,Y., Uehara,A., Paden,C.R., Marine,R., Tao,Y., Zhang,J., Wang,H., Keckler,M.S., Laufer Halpin,A.S., Elkins,C.A., Tong,S.",,USA: MN,Homo sapiens,oronasopharynx,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN_0101/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT344963,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Queen,K., Li,Y., Uehara,A., Paden,C.R., Marine,R., Tao,Y., Zhang,J., Wang,H., Keckler,M.S., Laufer Halpin,A.S., Elkins,C.A., Tong,S.",,USA: NC,Homo sapiens,,2020-03-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NC_0025/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT345798,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29844,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2091/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT345799,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29608,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-23,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2169/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT345800,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29689,partial,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-25,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2082/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds",Severe acute respiratory syndrome-related coronavirus
MT345801,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29818,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-25,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2131/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
