Accession,Release_Date,Species,Family,Length,Nuc_Completeness,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,Collection_Date_code,GenBank_Title,Species_code
KT779556,2016-03-09T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29887,complete,"Zhu,N., Wang,Y., Lu,R., Zhao,Y., Xie,Z., Tan,W.",,China,Homo sapiens,oronasopharynx,4/23/09,2009-04-23,"Human coronavirus HKU1 isolate BJ01-p9, complete genome",Human coronavirus HKU1
KF686339,2013-09-28T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29790,partial,"Dominguez,S.R., Shrivastava,S., Berglund,A., Qian,Z., Goes,L.G., Halpin,R.A., Fedorova,N., Ransier,A., Weston,P.A., Durigon,E.L., Jerez,J.A., Robinson,C.C., Town,C.D., Holmes,K.V., Motley,J., Djikeng,S., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Thovarai,V., Wang,S., Dominguez,S., Wentworth,D.E.",24394697,"USA: Denver, CO",Homo sapiens,,10/31/09,2009-10-31,UNVERIFIED: Human coronavirus HKU1 strain HKU1/human/USA/HKU1-3/2009 genomic sequence,Human coronavirus HKU1
KF686340,2013-09-28T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29923,complete,"Dominguez,S.R., Shrivastava,S., Berglund,A., Qian,Z., Goes,L.G., Halpin,R.A., Fedorova,N., Ransier,A., Weston,P.A., Durigon,E.L., Jerez,J.A., Robinson,C.C., Town,C.D., Holmes,K.V., Motley,J., Djikeng,S., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Thovarai,V., Wang,S., Dominguez,S., Wentworth,D.E.",24394697,"USA: Denver, CO",Homo sapiens,,11/28/09,2009-11-28,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-5/2009, complete genome",Human coronavirus HKU1
KF686342,2013-09-28T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29742,complete,"Dominguez,S.R., Shrivastava,S., Berglund,A., Qian,Z., Goes,L.G., Halpin,R.A., Fedorova,N., Ransier,A., Weston,P.A., Durigon,E.L., Jerez,J.A., Robinson,C.C., Town,C.D., Holmes,K.V., Motley,J., Djikeng,S., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Thovarai,V., Wang,S., Dominguez,S., Wentworth,D.E.",24394697,"USA: Denver, CO",Homo sapiens,,12/13/09,2009-12-13,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-11/2009, complete genome",Human coronavirus HKU1
KF686344,2013-09-28T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29695,complete,"Dominguez,S.R., Shrivastava,S., Berglund,A., Qian,Z., Goes,L.G., Halpin,R.A., Fedorova,N., Ransier,A., Weston,P.A., Durigon,E.L., Jerez,J.A., Robinson,C.C., Town,C.D., Holmes,K.V., Motley,J., Djikeng,S., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Thovarai,V., Wang,S., Dominguez,S., Wentworth,D.E.",24394697,"USA: Denver, CO",Homo sapiens,,12/28/09,2009-12-28,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-15/2009, complete genome",Human coronavirus HKU1
KF430199,2013-08-14T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29604,partial,"Dominguez,S.R., Shrivastava,S., Berglund,A., Qian,Z., Goes,L.G., Halpin,R.A., Fedorova,N., Ransier,A., Weston,P.A., Durigon,E.L., Jerez,J.A., Robinson,C.C., Town,C.D., Holmes,K.V., Motley,J., Djikeng,S., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Thovarai,V., Wang,S., Dominguez,S., Wentworth,D.E.",24394697,"USA: Denver, CO",Homo sapiens,,12/28/09,2009-12-28,UNVERIFIED: Human coronavirus HKU1 strain HKU1/human/USA/HKU1-14/2009 genomic sequence,Human coronavirus HKU1
KF430202,2013-08-14T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29709,partial,"Dominguez,S.R., Shrivastava,S., Berglund,A., Qian,Z., Goes,L.G., Halpin,R.A., Fedorova,N., Ransier,A., Weston,P.A., Durigon,E.L., Jerez,J.A., Robinson,C.C., Town,C.D., Holmes,K.V., Motley,J., Djikeng,S., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Thovarai,V., Wang,S., Dominguez,S., Wentworth,D.E.",24394697,"USA: Denver, CO",Homo sapiens,,1/3/10,2010-01-03,UNVERIFIED: Human coronavirus HKU1 strain HKU1/human/USA/HKU1-7/2010 genomic sequence,Human coronavirus HKU1
KF686343,2013-09-28T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29983,complete,"Dominguez,S.R., Shrivastava,S., Berglund,A., Qian,Z., Goes,L.G., Halpin,R.A., Fedorova,N., Ransier,A., Weston,P.A., Durigon,E.L., Jerez,J.A., Robinson,C.C., Town,C.D., Holmes,K.V., Motley,J., Djikeng,S., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Thovarai,V., Wang,S., Dominguez,S., Wentworth,D.E.",24394697,"USA: Denver, CO",Homo sapiens,,1/8/10,2010-01-08,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-13/2010, complete genome",Human coronavirus HKU1
KF430200,2013-08-14T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29628,partial,"Dominguez,S.R., Shrivastava,S., Berglund,A., Qian,Z., Goes,L.G., Halpin,R.A., Fedorova,N., Ransier,A., Weston,P.A., Durigon,E.L., Jerez,J.A., Robinson,C.C., Town,C.D., Holmes,K.V., Motley,J., Djikeng,S., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Thovarai,V., Wang,S., Dominguez,S., Wentworth,D.E.",24394697,"USA: Denver, CO",Homo sapiens,,1/8/10,2010-01-08,UNVERIFIED: Human coronavirus HKU1 strain HKU1/human/USA/HKU1-16/2010 genomic sequence,Human coronavirus HKU1
KF686346,2013-09-28T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29982,complete,"Dominguez,S.R., Shrivastava,S., Berglund,A., Qian,Z., Goes,L.G., Halpin,R.A., Fedorova,N., Ransier,A., Weston,P.A., Durigon,E.L., Jerez,J.A., Robinson,C.C., Town,C.D., Holmes,K.V., Motley,J., Djikeng,S., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Thovarai,V., Wang,S., Dominguez,S., Wentworth,D.E.",24394697,"USA: Denver, CO",Homo sapiens,,1/9/10,2010-01-09,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-12/2010, complete genome",Human coronavirus HKU1
KF686341,2013-09-28T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29832,complete,"Dominguez,S.R., Shrivastava,S., Berglund,A., Qian,Z., Goes,L.G., Halpin,R.A., Fedorova,N., Ransier,A., Weston,P.A., Durigon,E.L., Jerez,J.A., Robinson,C.C., Town,C.D., Holmes,K.V., Motley,J., Djikeng,S., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Thovarai,V., Wang,S., Dominguez,S., Wentworth,D.E.",24394697,"USA: Denver, CO",Homo sapiens,,1/16/10,2010-01-16,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-10/2010, complete genome",Human coronavirus HKU1
KF430201,2013-08-14T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29934,complete,"Dominguez,S.R., Shrivastava,S., Berglund,A., Qian,Z., Goes,L.G., Halpin,R.A., Fedorova,N., Ransier,A., Weston,P.A., Durigon,E.L., Jerez,J.A., Robinson,C.C., Town,C.D., Holmes,K.V., Motley,J., Djikeng,S., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Thovarai,V., Wang,S., Dominguez,S., Wentworth,D.E.",24394697,"USA: Denver, CO",Homo sapiens,,1/22/10,2010-01-22,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-18/2010, complete genome",Human coronavirus HKU1
KF686345,2013-09-28T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29848,partial,"Dominguez,S.R., Shrivastava,S., Berglund,A., Qian,Z., Goes,L.G., Halpin,R.A., Fedorova,N., Ransier,A., Weston,P.A., Durigon,E.L., Jerez,J.A., Robinson,C.C., Town,C.D., Holmes,K.V., Motley,J., Djikeng,S., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Thovarai,V., Wang,S., Dominguez,S., Wentworth,D.E.",24394697,"USA: Denver, CO",Homo sapiens,,1/30/10,2010-01-30,UNVERIFIED: Human coronavirus HKU1 strain HKU1/human/USA/HKU1-20/2010 genomic sequence,Human coronavirus HKU1
KY983584,2017-06-04T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29932,partial,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.",,USA,Homo sapiens,,2015,2015-07-15,"Human coronavirus HKU1 strain SC2628, partial genome",Human coronavirus HKU1
KY674921,2017-03-29T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29820,complete,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.",,USA,Homo sapiens,,2016,2016-07-15,"Human coronavirus HKU1 genotype B strain N08-87, complete genome",Human coronavirus HKU1
KY674941,2017-03-29T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29367,complete,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.",,USA,Homo sapiens,,2016,2016-07-15,"Human coronavirus HKU1 strain N09-1663B, complete genome",Human coronavirus HKU1
KY674942,2017-03-29T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29893,complete,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.",,USA,Homo sapiens,,2016,2016-07-15,"Human coronavirus HKU1 strain N09-1627B, complete genome",Human coronavirus HKU1
KY674943,2017-03-29T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29908,complete,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.",,USA,Homo sapiens,,2016,2016-07-15,"Human coronavirus HKU1 strain N09-1605B, complete genome",Human coronavirus HKU1
MH940245,2018-10-29T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29811,complete,"Joyjinda,Y., Rodpan,A., Chartpituck,P., Yaemsakul,S., Suthum,K., Cheun-Arom,T., Bunprakob,S., Hemachudha,T., Wacharapluesadee,S.",,Thailand,Homo sapiens,,6/4/17,2017-06-04,"Human coronavirus HKU1 isolate SI17244, complete genome",Human coronavirus HKU1
MK167038,2019-01-09T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29921,complete,"Greninger,A.L., Shean,R.C., Makhsous,N.",,USA,Homo sapiens,,2017,2017-07-15,"Human coronavirus HKU1 strain SC2521, complete genome",Human coronavirus HKU1
NC_006577,2004-12-28T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29926,complete,"Woo,P.C., Lau,S.K., Chu,C.M., Chan,K.H., Tsoi,H.W., Huang,Y., Wong,B.H., Poon,R.W., Cai,J.J., Luk,W.K., Poon,L.L., Wong,S.S., Guan,Y., Peiris,J.S., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Wong,B.H.L., Wong,S.S.Y., Peiris,J.S.M.",15613317,,Homo sapiens,,,,"Human coronavirus HKU1, complete genome",Human coronavirus HKU1
AY884001,2006-06-30T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29815,complete,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P.",16809319,,,,,,"Human coronavirus HKU1 genotype B, complete genome",Human coronavirus HKU1
DQ339101,2006-06-30T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29755,complete,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,,,,,,"Human coronavirus HKU1 strain N5P8 genotype A/B recombinant, complete genome",Human coronavirus HKU1
DQ415896,2006-06-30T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29860,complete,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,,oronasopharynx,,,"Human coronavirus HKU1 strain N19 genotype A, complete genome",Human coronavirus HKU1
DQ415897,2006-06-30T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29845,complete,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,,oronasopharynx,,,"Human coronavirus HKU1 strain N20 genotype C, complete genome",Human coronavirus HKU1
DQ415898,2006-06-30T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29815,complete,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,,oronasopharynx,,,"Human coronavirus HKU1 strain N21 genotype C, complete genome",Human coronavirus HKU1
DQ415899,2006-06-30T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29905,complete,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,,oronasopharynx,,,"Human coronavirus HKU1 strain N22 genotype C, complete genome",Human coronavirus HKU1
DQ415900,2006-06-30T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29812,complete,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,,oronasopharynx,,,"Human coronavirus HKU1 strain N23 genotype A, complete genome",Human coronavirus HKU1
DQ415901,2006-06-30T00:00:00Z,Human coronavirus HKU1,Coronaviridae,30097,complete,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,,oronasopharynx,,,"Human coronavirus HKU1 strain N24 genotype A, complete genome",Human coronavirus HKU1
DQ415902,2006-06-30T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29845,complete,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,,oronasopharynx,,,"Human coronavirus HKU1 strain N25 genotype B, complete genome",Human coronavirus HKU1
DQ415903,2006-06-30T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29920,complete,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,,oronasopharynx,,,"Human coronavirus HKU1 strain N3 genotype A, complete genome",Human coronavirus HKU1
DQ415904,2006-06-30T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29295,complete,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,,oronasopharynx,,,"Human coronavirus HKU1 strain N6 genotype A, complete genome",Human coronavirus HKU1
DQ415905,2006-06-30T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29857,complete,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,,oronasopharynx,,,"Human coronavirus HKU1 strain N7 genotype A, complete genome",Human coronavirus HKU1
DQ415906,2006-06-30T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29857,complete,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,,oronasopharynx,,,"Human coronavirus HKU1 strain N9 genotype A, complete genome",Human coronavirus HKU1
DQ415907,2006-06-30T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29887,complete,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,,oronasopharynx,,,"Human coronavirus HKU1 strain N10 genotype A, complete genome",Human coronavirus HKU1
DQ415908,2006-06-30T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29947,complete,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,,oronasopharynx,,,"Human coronavirus HKU1 strain N11 genotype A, complete genome",Human coronavirus HKU1
DQ415909,2006-06-30T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29767,complete,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,,oronasopharynx,,,"Human coronavirus HKU1 strain N13 genotype A, complete genome",Human coronavirus HKU1
DQ415910,2006-06-30T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29797,complete,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,,oronasopharynx,,,"Human coronavirus HKU1 strain N14 genotype A, complete genome",Human coronavirus HKU1
DQ415911,2006-06-30T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29902,complete,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,,oronasopharynx,,,"Human coronavirus HKU1 strain N15 genotype B, complete genome",Human coronavirus HKU1
DQ415912,2006-06-30T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29845,complete,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,,oronasopharynx,,,"Human coronavirus HKU1 strain N16 genotype C, complete genome",Human coronavirus HKU1
DQ415913,2006-06-30T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29785,complete,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,,oronasopharynx,,,"Human coronavirus HKU1 strain N17 genotype C, complete genome",Human coronavirus HKU1
DQ415914,2006-06-30T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29887,complete,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,,oronasopharynx,,,"Human coronavirus HKU1 strain N18 genotype A, complete genome",Human coronavirus HKU1
AY597011,2004-12-21T00:00:00Z,Human coronavirus HKU1,Coronaviridae,29926,complete,"Woo,P.C., Lau,S.K., Chu,C.M., Chan,K.H., Tsoi,H.W., Huang,Y., Wong,B.H., Poon,R.W., Cai,J.J., Luk,W.K., Poon,L.L., Wong,S.S., Guan,Y., Peiris,J.S., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Wong,B.H.L., Wong,S.S.Y., Peiris,J.S.M.",15613317,,Homo sapiens,,,,"Human coronavirus HKU1 genotype A, complete genome",Human coronavirus HKU1
KX442564,2018-01-23T00:00:00Z,Hypsugo bat coronavirus HKU25,Coronaviridae,30498,complete,"Lau,S.K.P., Zhang,L., Luk,H.K.H., Xiong,L., Peng,X., Li,K.S.M., He,X., Zhao,P.S.-H., Fan,R.Y.Y., Wong,A.C.P., Ahmed,S.S., Cai,J.-P., Chan,J.F.W., Sun,Y., Jin,D., Chen,H., Lau,T.C.K., Kok,R.K.H., Li,W., Yuen,K.-Y., Woo,P.C.Y.",,China,Hypsugo pulveratus,feces,9/14/13,2013-09-14,"Hypsugo bat coronavirus HKU25 isolate YD131305, complete genome",Hypsugo bat coronavirus HKU25
KX442565,2018-01-23T00:00:00Z,Hypsugo bat coronavirus HKU25,Coronaviridae,30497,complete,"Lau,S.K.P., Zhang,L., Luk,H.K.H., Xiong,L., Peng,X., Li,K.S.M., He,X., Zhao,P.S.-H., Fan,R.Y.Y., Wong,A.C.P., Ahmed,S.S., Cai,J.-P., Chan,J.F.W., Sun,Y., Jin,D., Chen,H., Lau,T.C.K., Kok,R.K.H., Li,W., Yuen,K.-Y., Woo,P.C.Y.",,China,Hypsugo pulveratus,feces,5/8/14,2014-05-08,"Hypsugo bat coronavirus HKU25 isolate NL140462, complete genome",Hypsugo bat coronavirus HKU25
KF294357,2014-10-30T00:00:00Z,Longquan Aa mouse coronavirus,Coronaviridae,30830,partial,"Wang,W., Lin,X.D., Guo,W.P., Zhou,R.H., Wang,M.R., Wang,C.Q., Ge,S., Mei,S.H., Li,M.H., Shi,M., Holmes,E.C., Zhang,Y.Z., Lin,X.-D., Zhou,R.-H., Guo,W.-P., Zhang,Y.-Z.",25463600,China,Apodemus agrarius,,2011,2011-07-15,"Longquan Aa mouse coronavirus isolate Longquan-343 orf1ab polyprotein gene, partial cds; and hemmaglutinin-esterase, spike structural protein, envelope protein, membrane protein, and nucleocapsid protein genes, complete cds",Longquan Aa mouse coronavirus
KF294372,2014-10-30T00:00:00Z,Longquan Rl rat coronavirus,Coronaviridae,30821,partial,"Wang,W., Lin,X.D., Guo,W.P., Zhou,R.H., Wang,M.R., Wang,C.Q., Ge,S., Mei,S.H., Li,M.H., Shi,M., Holmes,E.C., Zhang,Y.Z., Lin,X.-D., Zhou,R.-H., Guo,W.-P., Zhang,Y.-Z.",25463600,China,Niviventer confucianus,,2011,2011-07-15,"Longquan Rl rat coronavirus isolate Longquan-708 orf1ab polyprotein gene, partial cds; and hemagglutinin-esterase, spike protein, envelope protein, membrane protein, and nucleocapsid protein genes, complete cds",Longquan Rl rat coronavirus
KF294370,2014-10-30T00:00:00Z,Longquan Rl rat coronavirus,Coronaviridae,30678,partial,"Wang,W., Lin,X.D., Guo,W.P., Zhou,R.H., Wang,M.R., Wang,C.Q., Ge,S., Mei,S.H., Li,M.H., Shi,M., Holmes,E.C., Zhang,Y.Z., Lin,X.-D., Zhou,R.-H., Guo,W.-P., Zhang,Y.-Z.",25463600,China,Rattus tanezumi,,2013,2013-07-15,"Longquan Rl rat coronavirus isolate Longquan-189 orf1ab polyprotein gene, partial cds; and hemagglutinin-esterase, spike protein, envelope protein, membrane protein, and nucleocapsid protein genes, complete cds",Longquan Rl rat coronavirus
KF294371,2014-10-30T00:00:00Z,Longquan Rl rat coronavirus,Coronaviridae,30679,partial,"Wang,W., Lin,X.D., Guo,W.P., Zhou,R.H., Wang,M.R., Wang,C.Q., Ge,S., Mei,S.H., Li,M.H., Shi,M., Holmes,E.C., Zhang,Y.Z., Lin,X.-D., Zhou,R.-H., Guo,W.-P., Zhang,Y.-Z.",25463600,China,Rattus losea,,2013,2013-07-15,"Longquan Rl rat coronavirus isolate Longquan-370 orf1ab polyprotein gene, partial cds; and hemagglutinin-esterase, spike protein, envelope protein, membrane protein, and nucleocapsid protein genes, complete cds",Longquan Rl rat coronavirus
MG596802,2018-01-10T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30048,complete,"Moreno,A., Lelli,D., de Sabato,L., Zaccaria,G., Boni,A., Sozzi,E., Prosperi,A., Lavazza,A., Cella,E., Castrucci,M.R., Cicozzi,M., Vaccari,G., De Sabato,L.",29258555,Italy,Hypsugo savii,,2011,2011-07-15,"Middle East respiratory syndrome-related coronavirus isolate Bat-CoV/H.savii/Italy/206645-40/2011, complete genome",Middle East respiratory syndrome-related coronavirus
MG596803,2018-01-10T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30039,complete,"Moreno,A., Lelli,D., de Sabato,L., Zaccaria,G., Boni,A., Sozzi,E., Prosperi,A., Lavazza,A., Cella,E., Castrucci,M.R., Cicozzi,M., Vaccari,G., De Sabato,L.",29258555,Italy,Pipistrellus kuhlii,,2011,2011-07-15,"Middle East respiratory syndrome-related coronavirus isolate Bat-CoV/P.khulii/Italy/206645-63/2011, complete genome",Middle East respiratory syndrome-related coronavirus
KC869678,2013-07-30T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30111,complete,"Ithete,N.L., Stoffberg,S., Corman,V.M., Cottontail,V.M., Richards,L.R., Schoeman,M.C., Drosten,C., Drexler,J.F., Preiser,W., Stoffberg Hockey,S., Richards,L.","24050621, 25031349",South Africa,Neoromicia capensis,,2011,2011-07-15,"Coronavirus Neoromicia/PML-PHE1/RSA/2011, complete genome",Middle East respiratory syndrome-related coronavirus
KC776174,2013-03-25T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30030,complete,"Elassal,E.M., Demian,P.N., Defang,G.N., Rozanski,C.H., Curry,J.A., Oyofo,B.A., Al-Sanouri,T.M., Haddadin,A., Mohareb,E.W.",,Jordan,Homo sapiens,lung,2012-04,2012-04-15,"Human betacoronavirus 2c Jordan-N3/2012, complete genome",Middle East respiratory syndrome-related coronavirus
NC_019843,2012-12-13T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30119,complete,"van Boheemen,S., de Graaf,M., Lauber,C., Bestebroer,T.M., Raj,V.S., Zaki,A.M., Osterhaus,A.D., Haagmans,B.L., Gorbalenya,A.E., Snijder,E.J., Fouchier,R.A., Victor,S.R., Osterhaus,A.D.M.E., Fouchier,R.A.M.",23170002,,Homo sapiens,,6/13/12,2012-06-13,"Middle East respiratory syndrome coronavirus, complete genome",Middle East respiratory syndrome-related coronavirus
